Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Hispanic,2016,25233,18135.0,Oneida County, NY
Hispanic,2016,36820,9777.0,Onondaga County, NY
Hispanic,2016,32021,24424.0,Ontario County, NY
Hispanic,2016,55922,7876.0,Orange County, NY
Hispanic,2016,52415,21165.0,Oswego County, NY
Hispanic,2016,76325,32122.0,Putnam County, NY
Hispanic,2016,52705,2749.0,Queens County, NY
Hispanic,2016,42731,35107.0,Rensselaer County, NY
Hispanic,2016,51126,6899.0,Richmond County, NY
Hispanic,2016,56857,13927.0,Rockland County, NY
Hispanic,2016,90191,22889.0,Saratoga County, NY
Hispanic,2016,37353,28906.000000000004,Schenectady County, NY
Hispanic,2016,35446,11364.0,Steuben County, NY
Hispanic,2016,74245,5717.0,Suffolk County, NY
Hispanic,2016,36172,18367.0,Sullivan County, NY
Hispanic,2016,42138,15567.0,Ulster County, NY
Hispanic,2016,36823,6153.0,Wayne County, NY
Hispanic,2016,54861,4279.0,Westchester County, NY
Total,2015,57042,2650.0,Albany County, NY
Total,2015,35176,1392.0,Bronx County, NY
Total,2015,46152,2449.0,Broome County, NY
Total,2015,40016,2369.0,Cattaraugus County, NY
Total,2015,53146,3745.0,Cayuga County, NY
Total,2015,44460,2933.0,Chautauqua County, NY
Total,2015,53119,3960.0,Chemung County, NY
Total,2015,45377,3652.0,Clinton County, NY
Total,2015,71864,3327.0,Dutchess County, NY
Total,2015,52214,1164.0,Erie County, NY
Total,2015,51107,2803.0,Jefferson County, NY
Total,2015,51141,566.0,Kings County, NY
Total,2015,53441,5497.0,Livingston County, NY
Total,2015,60286,3760.0,Madison County, NY
Total,2015,54077,1923.0,Monroe County, NY
Total,2015,101830,1439.0,Nassau County, NY
Total,2015,75575,2566.0,New York County, NY
Total,2015,48160,3623.0,Niagara County, NY
Total,2015,48023,3974.0,Oneida County, NY
Total,2015,57365,1560.0,Onondaga County, NY
Total,2015,57711,4464.0,Ontario County, NY
Total,2015,73031,4374.0,Orange County, NY
Total,2015,49767,2541.0,Oswego County, NY
Total,2015,90538,6426.0,Putnam County, NY
Total,2015,60422,723.0,Queens County, NY
Total,2015,60810,3046.0,Rensselaer County, NY
Total,2015,71622,2532.0,Richmond County, NY
Total,2015,85392,3580.0,Rockland County, NY
Total,2015,42144,3026.0,St. Lawrence County, NY
Total,2015,75761,4256.0,Saratoga County, NY
Total,2015,61108,3920.0,Schenectady County, NY
Total,2015,47146,3242.0,Steuben County, NY
Total,2015,88340,2415.0,Suffolk County, NY
Total,2015,51761,6091.0,Sullivan County, NY
Total,2015,58084,4517.0,Tompkins County, NY
Total,2015,59758,3903.0,Ulster County, NY
Total,2015,57541,6892.999999999999,Warren County, NY
Total,2015,50561,2727.0,Wayne County, NY
Total,2015,86108,3303.0,Westchester County, NY
White,2015,62917,4663.0,Albany County, NY
White,2015,43152,3322.0,Bronx County, NY
White,2015,47725,3850.0000000000014,Broome County, NY
White,2015,40535,2401.0,Cattaraugus County, NY
White,2015,52926,3611.0,Cayuga County, NY
White,2015,45237,3158.0,Chautauqua County, NY
White,2015,54285,3935.0,Chemung County, NY
White,2015,46096,3870.0000000000014,Clinton County, NY
White,2015,75359,3886.0000000000014,Dutchess County, NY
White,2015,60166,1762.0,Erie County, NY
White,2015,52677,2871.0,Jefferson County, NY
White,2015,63096,1842.0,Kings County, NY
White,2015,53916,6551.0,Livingston County, NY
White,2015,59775,3451.0,Madison County, NY
White,2015,61486,1630.0,Monroe County, NY
White,2015,105992,2604.0,Nassau County, NY
White,2015,101081,1342.0,New York County, NY
White,2015,52777,3080.0,Niagara County, NY
White,2015,50918,1852.0,Oneida County, NY
White,2015,61723,1503.0,Onondaga County, NY
White,2015,59331,4339.0,Ontario County, NY
White,2015,76937,3684.0,Orange County, NY
White,2015,50155,2530.0,Oswego County, NY
White,2015,93528,6458.0,Putnam County, NY
White,2015,64253,2274.0,Queens County, NY
White,2015,61814,2824.0,Rensselaer County, NY
White,2015,77498,3713.0000000000014,Richmond County, NY
White,2015,89196,4890.0,Rockland County, NY
White,2015,42285,3172.0,St. Lawrence County, NY
White,2015,74644,4751.0,Saratoga County, NY
White,2015,64239,6376.0,Schenectady County, NY
White,2015,46536,2927.0,Steuben County, NY
White,2015,90895,1267.0,Suffolk County, NY
White,2015,56034,5870.0,Sullivan County, NY
White,2015,61024,5881.0,Tompkins County, NY
White,2015,61320,2202.0,Ulster County, NY
White,2015,60143,6774.0,Warren County, NY
White,2015,50917,2881.0,Wayne County, NY
White,2015,100532,2556.0,Westchester County, NY
Black,2015,27863,3123.0,Albany County, NY
Black,2015,36364,1737.0,Bronx County, NY
Black,2015,24002,11260.0,Broome County, NY
Black,2015,60743,27244.0,Cayuga County, NY
Black,2015,18326,6062.0,Chautauqua County, NY
Black,2015,34363,19806.0,Chemung County, NY
Black,2015,43812,20347.0,Clinton County, NY
Black,2015,46242,10739.0,Dutchess County, NY
Black,2015,27521,2527.0,Erie County, NY
Black,2015,46148,24211.0,Jefferson County, NY
Black,2015,41668,1273.0,Kings County, NY
Black,2015,28775,3779.0000000000014,Monroe County, NY
Black,2015,84080,5874.0,Nassau County, NY
Black,2015,32329,2810.0,New York County, NY
Black,2015,20888,5205.0,Niagara County, NY
Black,2015,25438,7061.0,Oneida County, NY
Black,2015,35464,3742.0,Onondaga County, NY
Black,2015,40985,8313.0,Ontario County, NY
Black,2015,62549,7505.0,Orange County, NY
Black,2015,62374,2520.0,Queens County, NY
Black,2015,41773,11881.0,Rensselaer County, NY
Black,2015,41543,4752.0,Richmond County, NY
Black,2015,70860,11684.0,Rockland County, NY
Black,2015,57287,16588.0,Saratoga County, NY
Black,2015,36453,17488.0,Schenectady County, NY
Black,2015,62257,42708.0,Steuben County, NY
Black,2015,70992,7113.0,Suffolk County, NY
Black,2015,34421,26940.0,Sullivan County, NY
Black,2015,32771,7824.999999999999,Ulster County, NY
Black,2015,48328,41899.0,Wayne County, NY
Black,2015,59169,5003.0,Westchester County, NY
Native American,2015,36586,11633.0,Bronx County, NY
Native American,2015,26509,7767.0,Cattaraugus County, NY
Native American,2015,20071,13016.0,Erie County, NY
Native American,2015,28191,15460.000000000002,Kings County, NY
Native American,2015,35642,15443.0,Monroe County, NY
Native American,2015,60563,32257.0,Nassau County, NY
Native American,2015,59966,29191.0,New York County, NY
Native American,2015,13837,5777.0,Niagara County, NY
Native American,2015,61461,30095.0,Onondaga County, NY
Native American,2015,39059,18125.0,Queens County, NY
Native American,2015,50523,35197.0,St. Lawrence County, NY
Native American,2015,93750,69048.0,Suffolk County, NY
Native American,2015,54500,49493.0,Wayne County, NY
Asian,2015,80481,25248.0,Albany County, NY
Asian,2015,52120,11842.0,Bronx County, NY
Asian,2015,40013,17229.0,Broome County, NY
Asian,2015,60568,13834.0,Cattaraugus County, NY
Asian,2015,76285,692.0,Cayuga County, NY
Asian,2015,74825,15408.0,Chemung County, NY
Asian,2015,32841,11559.0,Clinton County, NY
Asian,2015,107415,22620.0,Dutchess County, NY
Asian,2015,43414,13740.000000000002,Erie County, NY
Asian,2015,54830,3565.0,Kings County, NY
Asian,2015,57342,14164.000000000002,Monroe County, NY
Asian,2015,127712,10635.0,Nassau County, NY
Asian,2015,72832,7503.000000000001,New York County, NY
Asian,2015,81300,36551.0,Niagara County, NY
Asian,2015,40868,15185.0,Oneida County, NY
Asian,2015,47117,19429.0,Onondaga County, NY
Asian,2015,101289,101619.0,Ontario County, NY
Asian,2015,118919,34776.0,Orange County, NY
Asian,2015,36190,21621.0,Oswego County, NY
Asian,2015,58040,2807.0,Queens County, NY
Asian,2015,48229,41366.0,Rensselaer County, NY
Asian,2015,71398,10349.0,Richmond County, NY
Asian,2015,106503,15113.0,Rockland County, NY
Asian,2015,51369,14742.000000000002,St. Lawrence County, NY
Asian,2015,101085,18710.0,Saratoga County, NY
Asian,2015,94828,54617.0,Schenectady County, NY
Asian,2015,133091,25578.0,Steuben County, NY
Asian,2015,95590,14636.0,Suffolk County, NY
Asian,2015,58097,28867.0,Sullivan County, NY
Asian,2015,58394,21888.0,Tompkins County, NY
Asian,2015,48853,37736.0,Ulster County, NY
Asian,2015,66019,65585.0,Warren County, NY
Asian,2015,114637,13033.0,Westchester County, NY
Pacific Islander,2015,54075,19376.0,Queens County, NY
Pacific Islander,2015,98554,96221.0,Westchester County, NY
Other,2015,27293,1852.0,Bronx County, NY
Other,2015,23134,2719.0,Broome County, NY
Other,2015,44020,29673.000000000004,Cattaraugus County, NY
Other,2015,23586,12053.0,Cayuga County, NY
Other,2015,44593,20690.0,Chautauqua County, NY
Other,2015,60959,20120.0,Dutchess County, NY
Other,2015,19360,4036.0,Erie County, NY
Other,2015,35734,2903.0,Kings County, NY
Other,2015,28328,5989.0,Monroe County, NY
Other,2015,60102,4210.0,Nassau County, NY
Other,2015,31360,4180.0,New York County, NY
Other,2015,11848,2048.0,Niagara County, NY
Other,2015,21250,10124.0,Oneida County, NY
Other,2015,51025,15101.999999999998,Orange County, NY
Other,2015,15608,8811.0,Oswego County, NY
Other,2015,45877,2145.0,Queens County, NY
Other,2015,29034,13755.000000000002,Richmond County, NY
Other,2015,53688,22608.0,Rockland County, NY
Other,2015,85807,19829.0,Saratoga County, NY
Other,2015,48282,3877.0,Schenectady County, NY
Other,2015,73792,7433.999999999999,Suffolk County, NY
Other,2015,34505,20435.0,Ulster County, NY
Other,2015,19556,16790.0,Wayne County, NY
Other,2015,49347,5229.0,Westchester County, NY
Two Or More,2015,46837,5995.0,Bronx County, NY
Two Or More,2015,32368,24381.0,Broome County, NY
Two Or More,2015,21250,9855.0,Cattaraugus County, NY
Two Or More,2015,62750,28776.000000000004,Cayuga County, NY
Two Or More,2015,61071,8831.0,Chautauqua County, NY
Two Or More,2015,87798,64951.0,Chemung County, NY
Two Or More,2015,33397,20382.0,Dutchess County, NY
Two Or More,2015,49081,24121.0,Erie County, NY
Two Or More,2015,25483,16965.0,Jefferson County, NY
Two Or More,2015,56079,6396.0,Kings County, NY
Two Or More,2015,35722,10823.0,Monroe County, NY
Two Or More,2015,76498,18066.0,Nassau County, NY
Two Or More,2015,60791,6483.0,New York County, NY
Two Or More,2015,22767,3847.0,Niagara County, NY
Two Or More,2015,20938,20531.0,Oneida County, NY
Two Or More,2015,39772,25305.0,Onondaga County, NY
Two Or More,2015,13828,2949.0,Ontario County, NY
Two Or More,2015,66090,43434.0,Orange County, NY
Two Or More,2015,42739,28014.0,Oswego County, NY
Two Or More,2015,65575,7811.0,Queens County, NY
Two Or More,2015,56357,38492.0,Rensselaer County, NY
Two Or More,2015,57642,24525.0,Richmond County, NY
Two Or More,2015,75601,9641.0,Rockland County, NY
Two Or More,2015,88798,51513.0,Saratoga County, NY
Two Or More,2015,37940,33526.0,Schenectady County, NY
Two Or More,2015,86815,14465.0,Suffolk County, NY
Two Or More,2015,28219,9713.0,Sullivan County, NY
Two Or More,2015,57444,9647.0,Ulster County, NY
Two Or More,2015,103845,81657.0,Wayne County, NY
Two Or More,2015,76290,25308.0,Westchester County, NY
White Non-Hispanic,2015,65188,4798.0,Albany County, NY
White Non-Hispanic,2015,57875,4922.0,Bronx County, NY
White Non-Hispanic,2015,47512,3722.0,Broome County, NY
White Non-Hispanic,2015,40901,2461.0,Cattaraugus County, NY
White Non-Hispanic,2015,53094,3680.0,Cayuga County, NY
White Non-Hispanic,2015,46642,2948.0,Chautauqua County, NY
White Non-Hispanic,2015,54976,3842.0,Chemung County, NY
White Non-Hispanic,2015,46033,3966.0,Clinton County, NY
White Non-Hispanic,2015,74775,3893.0,Dutchess County, NY
White Non-Hispanic,2015,60434,1643.0,Erie County, NY
White Non-Hispanic,2015,52793,3111.0,Jefferson County, NY
White Non-Hispanic,2015,68252,2405.0,Kings County, NY
White Non-Hispanic,2015,54464,6926.0,Livingston County, NY
White Non-Hispanic,2015,59923,3616.0,Madison County, NY
White Non-Hispanic,2015,63465,2516.0,Monroe County, NY
White Non-Hispanic,2015,107102,2921.0,Nassau County, NY
White Non-Hispanic,2015,110445,4970.0,New York County, NY
White Non-Hispanic,2015,53425,3405.0000000000005,Niagara County, NY
White Non-Hispanic,2015,51310,1899.0,Oneida County, NY
White Non-Hispanic,2015,62046,1716.9999999999998,Onondaga County, NY
White Non-Hispanic,2015,60240,4145.0,Ontario County, NY
White Non-Hispanic,2015,76729,3807.0,Orange County, NY
White Non-Hispanic,2015,49991,2504.0,Oswego County, NY
White Non-Hispanic,2015,95125,7468.000000000001,Putnam County, NY
White Non-Hispanic,2015,67493,2405.0,Queens County, NY
White Non-Hispanic,2015,62074,2795.0,Rensselaer County, NY
White Non-Hispanic,2015,81401,2852.0,Richmond County, NY
White Non-Hispanic,2015,90608,4136.0,Rockland County, NY
White Non-Hispanic,2015,42177,3045.0,St. Lawrence County, NY
White Non-Hispanic,2015,73831,4540.0,Saratoga County, NY
White Non-Hispanic,2015,64780,6327.0,Schenectady County, NY
White Non-Hispanic,2015,46726,2893.0,Steuben County, NY
White Non-Hispanic,2015,92105,1630.0,Suffolk County, NY
White Non-Hispanic,2015,59600,6453.0,Sullivan County, NY
White Non-Hispanic,2015,61064,5483.0,Tompkins County, NY
White Non-Hispanic,2015,61662,2251.0,Ulster County, NY
White Non-Hispanic,2015,59217,6899.0,Warren County, NY
White Non-Hispanic,2015,51094,2897.0,Wayne County, NY
White Non-Hispanic,2015,108828,5186.0,Westchester County, NY
Hispanic,2015,30700,27764.0,Albany County, NY
Hispanic,2015,29213,1850.0,Bronx County, NY
Hispanic,2015,30516,15948.999999999998,Broome County, NY
Hispanic,2015,15788,8404.0,Cattaraugus County, NY
Hispanic,2015,28339,5190.0,Cayuga County, NY
Hispanic,2015,45709,19863.0,Clinton County, NY
Hispanic,2015,71115,18443.0,Dutchess County, NY
Hispanic,2015,26172,4797.0,Erie County, NY
Hispanic,2015,44682,18498.0,Jefferson County, NY
Hispanic,2015,37848,2089.0,Kings County, NY
Hispanic,2015,50859,6018.0,Madison County, NY
Hispanic,2015,30387,3328.0,Monroe County, NY
Hispanic,2015,77240,9055.0,Nassau County, NY
Hispanic,2015,33815,2406.0,New York County, NY
Hispanic,2015,14199,10216.0,Niagara County, NY
Hispanic,2015,23209,1990.0,Oneida County, NY
Hispanic,2015,43787,7884.0,Onondaga County, NY
Hispanic,2015,31794,9724.0,Ontario County, NY
Hispanic,2015,60366,5415.0,Orange County, NY
Hispanic,2015,61000,39741.0,Putnam County, NY
Hispanic,2015,52114,1607.0,Queens County, NY
Hispanic,2015,32686,26742.0,Rensselaer County, NY
Hispanic,2015,45411,7976.999999999999,Richmond County, NY
Hispanic,2015,54852,22802.0,Rockland County, NY
Hispanic,2015,108056,12538.0,Saratoga County, NY
Hispanic,2015,41415,4715.0,Schenectady County, NY
Hispanic,2015,21069,3980.0,Steuben County, NY
Hispanic,2015,77384,5552.0,Suffolk County, NY
Hispanic,2015,29785,4761.0,Sullivan County, NY
Hispanic,2015,41801,22782.0,Tompkins County, NY
Hispanic,2015,45687,7224.000000000001,Ulster County, NY
Hispanic,2015,32256,26334.0,Wayne County, NY
Hispanic,2015,54181,3990.0,Westchester County, NY
Total,2014,60655,2074.0,Albany County, NY
Total,2014,33712,1709.0,Bronx County, NY
Total,2014,46776,2902.0,Broome County, NY
Total,2014,44320,3350.0,Cattaraugus County, NY
Total,2014,53780,2675.0,Cayuga County, NY
Total,2014,41808,1825.0,Chautauqua County, NY
Total,2014,50232,3882.0,Chemung County, NY
Total,2014,53575,4245.0,Clinton County, NY
Total,2014,71165,2168.0,Dutchess County, NY
Total,2014,50132,1084.0,Erie County, NY
Total,2014,51086,3265.0,Jefferson County, NY
Total,2014,47966,1220.0,Kings County, NY
Total,2014,48456,3828.0,Livingston County, NY
Total,2014,51873,3738.0,Madison County, NY
Total,2014,51217,1252.0,Monroe County, NY
Total,2014,99035,2477.0,Nassau County, NY
Total,2014,76089,2016.0,New York County, NY
Total,2014,49700,3044.0,Niagara County, NY
Total,2014,48803,2164.0,Oneida County, NY
Total,2014,52947,1790.0,Onondaga County, NY
Total,2014,59093,4920.0,Ontario County, NY
Total,2014,70240,3293.0,Orange County, NY
Total,2014,47013,4100.0,Oswego County, NY
Total,2014,97483,8664.0,Putnam County, NY
Total,2014,57241,1195.0,Queens County, NY
Total,2014,61457,4129.0,Rensselaer County, NY
Total,2014,71121,3055.0,Richmond County, NY
Total,2014,85037,4694.0,Rockland County, NY
Total,2014,43758,3078.0,St. Lawrence County, NY
Total,2014,72354,3856.0,Saratoga County, NY
Total,2014,57587,4390.0,Schenectady County, NY
Total,2014,46889,2165.0,Steuben County, NY
Total,2014,86266,1774.9999999999998,Suffolk County, NY
Total,2014,53219,7066.0,Sullivan County, NY
Total,2014,52885,6027.0,Tompkins County, NY
Total,2014,58093,4824.0,Ulster County, NY
Total,2014,57294,4794.0,Warren County, NY
Total,2014,45951,4566.0,Wayne County, NY
Total,2014,83477,2590.0,Westchester County, NY
White,2014,67740,3086.0,Albany County, NY
White,2014,43990,3211.0,Bronx County, NY
White,2014,49799,3135.0,Broome County, NY
White,2014,44598,3670.0,Cattaraugus County, NY
White,2014,54035,2502.0,Cayuga County, NY
White,2014,42288,2151.0,Chautauqua County, NY
White,2014,51151,3450.0000000000005,Chemung County, NY
White,2014,54321,5211.0,Clinton County, NY
White,2014,73202,4299.0,Dutchess County, NY
White,2014,56382,1436.0,Erie County, NY
White,2014,53584,3382.9999999999995,Jefferson County, NY
White,2014,61061,1089.0,Kings County, NY
White,2014,49706,3557.0,Livingston County, NY
White,2014,52565,4054.0,Madison County, NY
White,2014,57153,1742.0,Monroe County, NY
White,2014,102443,2261.0,Nassau County, NY
White,2014,101842,1725.0000000000002,New York County, NY
White,2014,52021,2735.0,Niagara County, NY
White,2014,51025,2445.0,Oneida County, NY
White,2014,57149,1724.0,Onondaga County, NY
White,2014,60188,4357.0,Ontario County, NY
White,2014,76237,2988.0,Orange County, NY
White,2014,48206,4537.0,Oswego County, NY
White,2014,100295,9519.0,Putnam County, NY
White,2014,61228,1217.0,Queens County, NY
White,2014,64189,2809.0,Rensselaer County, NY
White,2014,78425,4217.0,Richmond County, NY
White,2014,88938,4181.0,Rockland County, NY
White,2014,43820,3082.0,St. Lawrence County, NY
White,2014,71672,3432.0,Saratoga County, NY
White,2014,60851,2744.0,Schenectady County, NY
White,2014,46923,2216.0,Steuben County, NY
White,2014,89605,2064.0,Suffolk County, NY
White,2014,53029,7809.0,Sullivan County, NY
White,2014,59394,4952.0,Tompkins County, NY
White,2014,60541,3400.0000000000005,Ulster County, NY
White,2014,57823,4672.0,Warren County, NY
White,2014,46818,4867.0,Wayne County, NY
White,2014,95641,3126.0,Westchester County, NY
Black,2014,32280,5389.0,Albany County, NY
Black,2014,37876,1415.0,Bronx County, NY
Black,2014,17633,2994.0,Broome County, NY
Black,2014,95873,56476.00000000001,Cattaraugus County, NY
Black,2014,29744,25671.0,Cayuga County, NY
Black,2014,10876,10257.0,Chautauqua County, NY
Black,2014,69124,40229.0,Clinton County, NY
Black,2014,44691,7686.0,Dutchess County, NY
Black,2014,29402,3685.0,Erie County, NY
Black,2014,31376,4814.0,Jefferson County, NY
Black,2014,39943,1006.0,Kings County, NY
Black,2014,18561,7395.0,Livingston County, NY
Black,2014,24758,2111.0,Monroe County, NY
Black,2014,82448,7529.0,Nassau County, NY
Black,2014,35275,3099.0,New York County, NY
Black,2014,27439,9551.0,Niagara County, NY
Black,2014,27517,13973.0,Oneida County, NY
Black,2014,27409,3694.0,Onondaga County, NY
Black,2014,29651,10781.0,Ontario County, NY
Black,2014,60963,9068.0,Orange County, NY
Black,2014,23615,23479.0,Oswego County, NY
Black,2014,78601,42418.0,Putnam County, NY
Black,2014,56756,2882.0,Queens County, NY
Black,2014,22585,6145.0,Rensselaer County, NY
Black,2014,37509,14505.0,Richmond County, NY
Black,2014,69149,12486.0,Rockland County, NY
Black,2014,81058,53437.0,Saratoga County, NY
Black,2014,32178,3975.0,Schenectady County, NY
Black,2014,67498,7057.000000000001,Suffolk County, NY
Black,2014,27401,8221.0,Ulster County, NY
Black,2014,28003,7687.999999999999,Wayne County, NY
Black,2014,51653,4478.0,Westchester County, NY
Native American,2014,35040,28365.0,Bronx County, NY
Native American,2014,15448,2135.0,Broome County, NY
Native American,2014,22261,14920.0,Cattaraugus County, NY
Native American,2014,60278,35964.0,Cayuga County, NY
Native American,2014,22657,4089.0,Erie County, NY
Native American,2014,33568,17006.0,Kings County, NY
Native American,2014,45294,23801.0,Madison County, NY
Native American,2014,18898,8820.0,Monroe County, NY
Native American,2014,50134,21417.0,New York County, NY
Native American,2014,30297,10272.0,Niagara County, NY
Native American,2014,50205,47845.0,Oneida County, NY
Native American,2014,46742,30819.000000000004,Onondaga County, NY
Native American,2014,77569,4798.0,Orange County, NY
Native American,2014,56148,20940.0,Queens County, NY
Native American,2014,167043,59922.0,Rockland County, NY
Native American,2014,74672,50432.0,Suffolk County, NY
Native American,2014,53666,10097.0,Westchester County, NY
Asian,2014,69653,39128.0,Albany County, NY
Asian,2014,41776,6723.0,Bronx County, NY
Asian,2014,46353,19336.0,Broome County, NY
Asian,2014,250001,,Cattaraugus County, NY
Asian,2014,250001,,Chemung County, NY
Asian,2014,2499,,Clinton County, NY
Asian,2014,99878,25754.0,Dutchess County, NY
Asian,2014,46468,9374.0,Erie County, NY
Asian,2014,44146,34040.0,Jefferson County, NY
Asian,2014,50217,2328.0,Kings County, NY
Asian,2014,77192,46373.0,Madison County, NY
Asian,2014,57438,16790.0,Monroe County, NY
Asian,2014,118316,9240.0,Nassau County, NY
Asian,2014,72329,8093.0,New York County, NY
Asian,2014,36250,11197.0,Niagara County, NY
Asian,2014,30524,7575.999999999999,Oneida County, NY
Asian,2014,28188,11834.0,Onondaga County, NY
Asian,2014,68654,33631.0,Orange County, NY
Asian,2014,66750,10176.0,Oswego County, NY
Asian,2014,55129,2383.0,Queens County, NY
Asian,2014,63122,23246.0,Rensselaer County, NY
Asian,2014,57224,14622.000000000002,Richmond County, NY
Asian,2014,110506,11759.0,Rockland County, NY
Asian,2014,23915,10262.0,St. Lawrence County, NY
Asian,2014,90407,21411.0,Saratoga County, NY
Asian,2014,74535,23952.0,Schenectady County, NY
Asian,2014,86946,10026.0,Steuben County, NY
Asian,2014,94798,23283.0,Suffolk County, NY
Asian,2014,250001,,Sullivan County, NY
Asian,2014,26661,8782.0,Tompkins County, NY
Asian,2014,120102,8073.0,Westchester County, NY
Pacific Islander,2014,2499,,Bronx County, NY
Other,2014,42603,23714.0,Albany County, NY
Other,2014,26141,1458.0,Bronx County, NY
Other,2014,95459,56510.99999999999,Cayuga County, NY
Other,2014,23798,23432.0,Chautauqua County, NY
Other,2014,44253,26868.0,Dutchess County, NY
Other,2014,16559,4923.0,Erie County, NY
Other,2014,34286,10301.0,Jefferson County, NY
Other,2014,34635,2941.0,Kings County, NY
Other,2014,24834,18667.0,Monroe County, NY
Other,2014,51325,7774.999999999999,Nassau County, NY
Other,2014,35402,3197.0,New York County, NY
Other,2014,40282,28929.0,Niagara County, NY
Other,2014,20101,12131.0,Oneida County, NY
Other,2014,15041,12449.0,Onondaga County, NY
Other,2014,64038,28066.0,Ontario County, NY
Other,2014,45264,13407.0,Orange County, NY
Other,2014,94815,67581.0,Putnam County, NY
Other,2014,48992,4094.0,Queens County, NY
Other,2014,33340,11833.0,Rensselaer County, NY
Other,2014,39779,12824.0,Richmond County, NY
Other,2014,42227,17196.0,Rockland County, NY
Other,2014,81676,10406.0,Saratoga County, NY
Other,2014,45341,18696.0,Schenectady County, NY
Other,2014,58496,8162.0,Suffolk County, NY
Other,2014,54989,23063.0,Sullivan County, NY
Other,2014,54478,4572.0,Westchester County, NY
Two Or More,2014,31946,7969.000000000001,Albany County, NY
Two Or More,2014,31092,6490.0,Bronx County, NY
Two Or More,2014,31250,30045.0,Cattaraugus County, NY
Two Or More,2014,33438,13203.0,Cayuga County, NY
Two Or More,2014,40417,28804.0,Chautauqua County, NY
Two Or More,2014,62926,9934.0,Dutchess County, NY
Two Or More,2014,36726,8203.0,Erie County, NY
Two Or More,2014,40541,9165.0,Jefferson County, NY
Two Or More,2014,48291,8510.0,Kings County, NY
Two Or More,2014,51745,22960.0,Livingston County, NY
Two Or More,2014,44688,14577.999999999998,Monroe County, NY
Two Or More,2014,78323,12309.0,Nassau County, NY
Two Or More,2014,46381,14318.999999999998,New York County, NY
Two Or More,2014,55679,39263.0,Niagara County, NY
Two Or More,2014,74205,37642.0,Oneida County, NY
Two Or More,2014,45795,28070.0,Onondaga County, NY
Two Or More,2014,32852,6616.0,Ontario County, NY
Two Or More,2014,57191,17271.0,Orange County, NY
Two Or More,2014,27447,14488.999999999998,Oswego County, NY
Two Or More,2014,118202,58090.00000000001,Putnam County, NY
Two Or More,2014,61477,7645.000000000001,Queens County, NY
Two Or More,2014,31198,2935.0,Rensselaer County, NY
Two Or More,2014,82347,33301.0,Rockland County, NY
Two Or More,2014,54867,32665.000000000004,St. Lawrence County, NY
Two Or More,2014,65617,47906.0,Suffolk County, NY
Two Or More,2014,45505,18594.0,Ulster County, NY
Two Or More,2014,100699,29613.000000000004,Westchester County, NY
White Non-Hispanic,2014,67682,3090.0,Albany County, NY
White Non-Hispanic,2014,57129,7783.0,Bronx County, NY
White Non-Hispanic,2014,50125,2937.0,Broome County, NY
White Non-Hispanic,2014,44612,3650.0,Cattaraugus County, NY
White Non-Hispanic,2014,53949,2506.0,Cayuga County, NY
White Non-Hispanic,2014,42722,2487.0,Chautauqua County, NY
White Non-Hispanic,2014,51426,3533.0,Chemung County, NY
White Non-Hispanic,2014,54402,5263.0,Clinton County, NY
White Non-Hispanic,2014,73744,4109.0,Dutchess County, NY
White Non-Hispanic,2014,56523,1442.0,Erie County, NY
White Non-Hispanic,2014,54038,3457.0,Jefferson County, NY
White Non-Hispanic,2014,65618,1882.0,Kings County, NY
White Non-Hispanic,2014,50489,3360.0,Livingston County, NY
White Non-Hispanic,2014,52475,4047.0000000000014,Madison County, NY
White Non-Hispanic,2014,58775,1794.0,Monroe County, NY
White Non-Hispanic,2014,103119,2614.0,Nassau County, NY
White Non-Hispanic,2014,111967,4098.0,New York County, NY
White Non-Hispanic,2014,52629,2904.0,Niagara County, NY
White Non-Hispanic,2014,51520,2414.0,Oneida County, NY
White Non-Hispanic,2014,57409,1855.0,Onondaga County, NY
White Non-Hispanic,2014,60432,4038.0,Ontario County, NY
White Non-Hispanic,2014,75977,3136.0,Orange County, NY
White Non-Hispanic,2014,48761,4455.0,Oswego County, NY
White Non-Hispanic,2014,103474,6678.0,Putnam County, NY
White Non-Hispanic,2014,66125,1848.0,Queens County, NY
White Non-Hispanic,2014,64600,2764.0,Rensselaer County, NY
White Non-Hispanic,2014,80346,3838.0,Richmond County, NY
White Non-Hispanic,2014,90759,3598.0,Rockland County, NY
White Non-Hispanic,2014,43802,3079.0,St. Lawrence County, NY
White Non-Hispanic,2014,71607,3435.0000000000005,Saratoga County, NY
White Non-Hispanic,2014,61573,2546.0,Schenectady County, NY
White Non-Hispanic,2014,46902,2237.0,Steuben County, NY
White Non-Hispanic,2014,91298,1955.0,Suffolk County, NY
White Non-Hispanic,2014,54415,6852.999999999999,Sullivan County, NY
White Non-Hispanic,2014,59921,4892.0,Tompkins County, NY
White Non-Hispanic,2014,61595,3588.0,Ulster County, NY
White Non-Hispanic,2014,57947,4574.0,Warren County, NY
White Non-Hispanic,2014,46596,4706.0,Wayne County, NY
White Non-Hispanic,2014,103378,2726.0,Westchester County, NY
Hispanic,2014,46544,17937.0,Albany County, NY
Hispanic,2014,26979,1371.0,Bronx County, NY
Hispanic,2014,14716,12111.0,Broome County, NY
Hispanic,2014,36773,29472.0,Cattaraugus County, NY
