Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Two Or More,2019,50539,21744.0,Monroe County, NY
Two Or More,2019,113699,12647.0,Nassau County, NY
Two Or More,2019,71171,14366.0,New York County, NY
Two Or More,2019,46883,23586.0,Niagara County, NY
Two Or More,2019,37220,10947.0,Oneida County, NY
Two Or More,2019,40944,14622.999999999998,Onondaga County, NY
Two Or More,2019,90059,27462.0,Orange County, NY
Two Or More,2019,79298,8419.0,Queens County, NY
Two Or More,2019,103447,21629.0,Richmond County, NY
Two Or More,2019,113384,37108.0,Rockland County, NY
Two Or More,2019,49461,26584.0,St. Lawrence County, NY
Two Or More,2019,96142,19780.0,Saratoga County, NY
Two Or More,2019,20203,18562.0,Schenectady County, NY
Two Or More,2019,104315,27495.0,Suffolk County, NY
Two Or More,2019,63417,52491.0,Tompkins County, NY
Two Or More,2019,86512,44055.0,Ulster County, NY
Two Or More,2019,103595,41436.0,Westchester County, NY
White Non-Hispanic,2019,77026,5464.0,Albany County, NY
White Non-Hispanic,2019,65994,5322.0,Bronx County, NY
White Non-Hispanic,2019,56356,4859.0,Broome County, NY
White Non-Hispanic,2019,52154,2805.0,Cattaraugus County, NY
White Non-Hispanic,2019,60480,4190.0,Cayuga County, NY
White Non-Hispanic,2019,51558,3010.0,Chautauqua County, NY
White Non-Hispanic,2019,61254,4862.0,Chemung County, NY
White Non-Hispanic,2019,59880,5432.0,Clinton County, NY
White Non-Hispanic,2019,88244,4807.0,Dutchess County, NY
White Non-Hispanic,2019,66999,2045.0,Erie County, NY
White Non-Hispanic,2019,54826,3643.0000000000014,Jefferson County, NY
White Non-Hispanic,2019,90577,1774.9999999999998,Kings County, NY
White Non-Hispanic,2019,60091,4102.0,Livingston County, NY
White Non-Hispanic,2019,63839,6905.000000000001,Madison County, NY
White Non-Hispanic,2019,71212,1960.0,Monroe County, NY
White Non-Hispanic,2019,127041,3603.0,Nassau County, NY
White Non-Hispanic,2019,132362,6957.000000000001,New York County, NY
White Non-Hispanic,2019,60071,3916.0000000000014,Niagara County, NY
White Non-Hispanic,2019,61972,3445.0000000000005,Oneida County, NY
White Non-Hispanic,2019,67655,2877.0,Onondaga County, NY
White Non-Hispanic,2019,68005,5424.0,Ontario County, NY
White Non-Hispanic,2019,86232,6055.0,Orange County, NY
White Non-Hispanic,2019,59203,4708.0,Oswego County, NY
White Non-Hispanic,2019,106705,6777.0,Putnam County, NY
White Non-Hispanic,2019,83541,3258.0,Queens County, NY
White Non-Hispanic,2019,75282,4826.0,Rensselaer County, NY
White Non-Hispanic,2019,104240,3606.0,Richmond County, NY
White Non-Hispanic,2019,101546,3461.0,Rockland County, NY
White Non-Hispanic,2019,52460,5843.0,St. Lawrence County, NY
White Non-Hispanic,2019,87713,5619.0,Saratoga County, NY
White Non-Hispanic,2019,78851,7919.999999999999,Schenectady County, NY
White Non-Hispanic,2019,52730,2360.0,Steuben County, NY
White Non-Hispanic,2019,109817,3032.0,Suffolk County, NY
White Non-Hispanic,2019,61496,9026.0,Sullivan County, NY
White Non-Hispanic,2019,63165,3980.0,Tompkins County, NY
White Non-Hispanic,2019,64898,5052.0,Ulster County, NY
White Non-Hispanic,2019,64072,6409.0,Warren County, NY
White Non-Hispanic,2019,64299,5942.0,Wayne County, NY
White Non-Hispanic,2019,126202,5217.0,Westchester County, NY
Hispanic,2019,49717,20330.0,Albany County, NY
Hispanic,2019,36720,1941.0,Bronx County, NY
Hispanic,2019,45915,23740.0,Broome County, NY
Hispanic,2019,58989,43696.0,Cattaraugus County, NY
Hispanic,2019,43131,14672.999999999998,Cayuga County, NY
Hispanic,2019,21055,9438.0,Chautauqua County, NY
Hispanic,2019,57822,23109.0,Chemung County, NY
Hispanic,2019,85276,69765.0,Clinton County, NY
Hispanic,2019,81597,31418.000000000004,Dutchess County, NY
Hispanic,2019,36228,6319.0,Erie County, NY
Hispanic,2019,45680,7047.000000000001,Jefferson County, NY
Hispanic,2019,49928,2498.0,Kings County, NY
Hispanic,2019,40634,5700.0,Monroe County, NY
Hispanic,2019,101094,7802.000000000001,Nassau County, NY
Hispanic,2019,41052,2042.0,New York County, NY
Hispanic,2019,75919,61785.0,Niagara County, NY
Hispanic,2019,49746,20379.0,Oneida County, NY
Hispanic,2019,44076,4138.0,Onondaga County, NY
Hispanic,2019,29883,6396.0,Ontario County, NY
Hispanic,2019,85518,7086.0,Orange County, NY
Hispanic,2019,21629,20110.0,Oswego County, NY
Hispanic,2019,97332,17621.0,Putnam County, NY
Hispanic,2019,65137,2813.0,Queens County, NY
Hispanic,2019,35448,9519.0,Rensselaer County, NY
Hispanic,2019,52308,10269.0,Richmond County, NY
Hispanic,2019,80628,18400.0,Rockland County, NY
Hispanic,2019,101519,17407.0,Saratoga County, NY
Hispanic,2019,35422,21082.0,Schenectady County, NY
Hispanic,2019,94922,8593.0,Suffolk County, NY
Hispanic,2019,60338,5839.0,Sullivan County, NY
Hispanic,2019,40472,14685.0,Tompkins County, NY
Hispanic,2019,57401,25323.0,Ulster County, NY
Hispanic,2019,57086,51041.0,Wayne County, NY
Hispanic,2019,75820,4778.0,Westchester County, NY
Total,2018,64435,4607.0,Albany County, NY
Total,2018,38467,1864.0,Bronx County, NY
Total,2018,51125,2910.0,Broome County, NY
Total,2018,48179,3100.0,Cattaraugus County, NY
Total,2018,52376,4473.0,Cayuga County, NY
Total,2018,45479,2258.0,Chautauqua County, NY
Total,2018,53005,3786.0,Chemung County, NY
