ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2,"Black",2019,"2019",96701,8897,"Nassau County, NY","05000US36059","nassau-county-ny"
2,"Black",2019,"2019",41106,4315,"New York County, NY","05000US36061","new-york-county-ny"
2,"Black",2019,"2019",24054,11961,"Niagara County, NY","05000US36063","niagara-county-ny"
2,"Black",2019,"2019",44409,27428,"Oneida County, NY","05000US36065","oneida-county-ny"
2,"Black",2019,"2019",35221,5370,"Onondaga County, NY","05000US36067","onondaga-county-ny"
2,"Black",2019,"2019",24688,14807.999999999998,"Ontario County, NY","05000US36069","ontario-county-ny"
2,"Black",2019,"2019",66012,18425,"Orange County, NY","05000US36071","orange-county-ny"
2,"Black",2019,"2019",83817,24617,"Putnam County, NY","05000US36079","putnam-county-ny"
2,"Black",2019,"2019",73646,4313,"Queens County, NY","05000US36081","queens-county-ny"
2,"Black",2019,"2019",32575,12855,"Rensselaer County, NY","05000US36083","rensselaer-county-ny"
2,"Black",2019,"2019",51171,13571.000000000002,"Richmond County, NY","05000US36085","richmond-county-ny"
2,"Black",2019,"2019",95189,18863,"Rockland County, NY","05000US36087","rockland-county-ny"
2,"Black",2019,"2019",53855,9927,"St. Lawrence County, NY","05000US36089","st-lawrence-county-ny"
2,"Black",2019,"2019",38437,7293,"Schenectady County, NY","05000US36093","schenectady-county-ny"
2,"Black",2019,"2019",57222,40921,"Steuben County, NY","05000US36101","steuben-county-ny"
2,"Black",2019,"2019",96643,13546.999999999998,"Suffolk County, NY","05000US36103","suffolk-county-ny"
2,"Black",2019,"2019",58504,40545,"Ulster County, NY","05000US36111","ulster-county-ny"
2,"Black",2019,"2019",212794,167796,"Warren County, NY","05000US36113","warren-county-ny"
2,"Black",2019,"2019",64662,9499,"Westchester County, NY","05000US36119","westchester-county-ny"
3,"Native American",2019,"2019",22464,19727,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Native American",2019,"2019",45847,26453,"Broome County, NY","05000US36007","broome-county-ny"
3,"Native American",2019,"2019",21767,3696.9999999999995,"Cattaraugus County, NY","05000US36009","cattaraugus-county-ny"
3,"Native American",2019,"2019",40703,35190,"Erie County, NY","05000US36029","erie-county-ny"
3,"Native American",2019,"2019",20570,17109,"Kings County, NY","05000US36047","kings-county-ny"
3,"Native American",2019,"2019",46316,40070,"Madison County, NY","05000US36053","madison-county-ny"
3,"Native American",2019,"2019",26761,9688,"Monroe County, NY","05000US36055","monroe-county-ny"
3,"Native American",2019,"2019",123200,15196.000000000002,"Nassau County, NY","05000US36059","nassau-county-ny"
3,"Native American",2019,"2019",37147,27051.000000000004,"New York County, NY","05000US36061","new-york-county-ny"
3,"Native American",2019,"2019",5993,3661.9999999999995,"Niagara County, NY","05000US36063","niagara-county-ny"
3,"Native American",2019,"2019",48469,22111,"Oneida County, NY","05000US36065","oneida-county-ny"
3,"Native American",2019,"2019",73925,66056,"Onondaga County, NY","05000US36067","onondaga-county-ny"
3,"Native American",2019,"2019",80969,34873,"Queens County, NY","05000US36081","queens-county-ny"
3,"Native American",2019,"2019",60718,37796,"Richmond County, NY","05000US36085","richmond-county-ny"
3,"Native American",2019,"2019",87833,9567,"Suffolk County, NY","05000US36103","suffolk-county-ny"
4,"Asian",2019,"2019",74962,23510,"Albany County, NY","05000US36001","albany-county-ny"
4,"Asian",2019,"2019",64059,8424,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Asian",2019,"2019",43902,20745,"Broome County, NY","05000US36007","broome-county-ny"
4,"Asian",2019,"2019",123490,24220,"Dutchess County, NY","05000US36027","dutchess-county-ny"
4,"Asian",2019,"2019",44094,10049,"Erie County, NY","05000US36029","erie-county-ny"
4,"Asian",2019,"2019",60943,45664,"Jefferson County, NY","05000US36045","jefferson-county-ny"
4,"Asian",2019,"2019",71803,4639,"Kings County, NY","05000US36047","kings-county-ny"
4,"Asian",2019,"2019",250001,,"Livingston County, NY","05000US36051","livingston-county-ny"
4,"Asian",2019,"2019",69926,24431,"Monroe County, NY","05000US36055","monroe-county-ny"
4,"Asian",2019,"2019",141801,10309,"Nassau County, NY","05000US36059","nassau-county-ny"
4,"Asian",2019,"2019",101183,4835,"New York County, NY","05000US36061","new-york-county-ny"
4,"Asian",2019,"2019",69321,68759,"Niagara County, NY","05000US36063","niagara-county-ny"
4,"Asian",2019,"2019",39821,16781,"Oneida County, NY","05000US36065","oneida-county-ny"
