COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
047,Gilpin County, Colorado,5931,2016-07-01
049,Grand County, Colorado,15008,2016-07-01
051,Gunnison County, Colorado,16408,2016-07-01
053,Hinsdale County, Colorado,788,2016-07-01
055,Huerfano County, Colorado,6677,2016-07-01
057,Jackson County, Colorado,1357,2016-07-01
059,Jefferson County, Colorado,571837,2016-07-01
003,Hartford County, Connecticut,892389,2016-07-01
005,Litchfield County, Connecticut,182571,2016-07-01
007,Middlesex County, Connecticut,163329,2016-07-01
009,New Haven County, Connecticut,856875,2016-07-01
011,New London County, Connecticut,269801,2016-07-01
013,Tolland County, Connecticut,151118,2016-07-01
015,Windham County, Connecticut,116192,2016-07-01
001,Kent County, Delaware,174827,2016-07-01
003,New Castle County, Delaware,556987,2016-07-01
005,Sussex County, Delaware,220251,2016-07-01
001,District of Columbia, District of Columbia,681170,2016-07-01
001,Alachua County, Florida,263496,2016-07-01
003,Baker County, Florida,27937,2016-07-01
005,Bay County, Florida,183974,2016-07-01
007,Bradford County, Florida,26926,2016-07-01
009,Brevard County, Florida,579130,2016-07-01
011,Broward County, Florida,1909632,2016-07-01
013,Calhoun County, Florida,14423,2016-07-01
015,Charlotte County, Florida,178465,2016-07-01
017,Citrus County, Florida,143621,2016-07-01
019,Clay County, Florida,208311,2016-07-01
021,Collier County, Florida,365136,2016-07-01
023,Columbia County, Florida,69299,2016-07-01
027,DeSoto County, Florida,35800,2016-07-01
029,Dixie County, Florida,16300,2016-07-01
031,Duval County, Florida,926255,2016-07-01
033,Escambia County, Florida,315187,2016-07-01
073,Lincoln County, Colorado,5643,2016-07-01
075,Logan County, Colorado,21919,2016-07-01
077,Mesa County, Colorado,150083,2016-07-01
079,Mineral County, Colorado,732,2016-07-01
081,Moffat County, Colorado,13109,2016-07-01
083,Montezuma County, Colorado,26999,2016-07-01
085,Montrose County, Colorado,41471,2016-07-01
087,Morgan County, Colorado,28274,2016-07-01
089,Otero County, Colorado,18295,2016-07-01
091,Ouray County, Colorado,4857,2016-07-01
093,Park County, Colorado,17166,2016-07-01
095,Phillips County, Colorado,4288,2016-07-01
097,Pitkin County, Colorado,17752,2016-07-01
099,Prowers County, Colorado,11922,2016-07-01
101,Pueblo County, Colorado,165123,2016-07-01
103,Rio Blanco County, Colorado,6545,2016-07-01
105,Rio Grande County, Colorado,11479,2016-07-01
107,Routt County, Colorado,24648,2016-07-01
