COUNTY,STATE,POPULATION,DATE
Coffee County, Georgia,43012,2016-07-01
Colquitt County, Georgia,45708,2016-07-01
Columbia County, Georgia,147450,2016-07-01
Cook County, Georgia,17167,2016-07-01
Coweta County, Georgia,140526,2016-07-01
Crawford County, Georgia,12322,2016-07-01
Crisp County, Georgia,22721,2016-07-01
Dade County, Georgia,16257,2016-07-01
Dawson County, Georgia,23604,2016-07-01
Decatur County, Georgia,26822,2016-07-01
DeKalb County, Georgia,740321,2016-07-01
Dodge County, Georgia,20563,2016-07-01
Dooly County, Georgia,13763,2016-07-01
Dougherty County, Georgia,90017,2016-07-01
Douglas County, Georgia,142224,2016-07-01
Early County, Georgia,10339,2016-07-01
Echols County, Georgia,3962,2016-07-01
Effingham County, Georgia,58712,2016-07-01
Elbert County, Georgia,19143,2016-07-01
Emanuel County, Georgia,22635,2016-07-01
Evans County, Georgia,10670,2016-07-01
Walton County, Florida,65889,2016-07-01
Washington County, Florida,24569,2016-07-01
Appling County, Georgia,18428,2016-07-01
Atkinson County, Georgia,8273,2016-07-01
Bacon County, Georgia,11372,2016-07-01
Baker County, Georgia,3150,2016-07-01
Baldwin County, Georgia,45144,2016-07-01
Banks County, Georgia,18397,2016-07-01
Barrow County, Georgia,77126,2016-07-01
Bartow County, Georgia,103807,2016-07-01
Ben Hill County, Georgia,17243,2016-07-01
Berrien County, Georgia,18993,2016-07-01
Bibb County, Georgia,152760,2016-07-01
Bleckley County, Georgia,12970,2016-07-01
Brantley County, Georgia,18355,2016-07-01
Brooks County, Georgia,15687,2016-07-01
Bryan County, Georgia,36230,2016-07-01
Bulloch County, Georgia,74722,2016-07-01
Burke County, Georgia,22688,2016-07-01
Butts County, Georgia,23817,2016-07-01
Calhoun County, Georgia,6324,2016-07-01
Camden County, Georgia,53008,2016-07-01
Candler County, Georgia,10910,2016-07-01
Carroll County, Georgia,116261,2016-07-01
Catoosa County, Georgia,66398,2016-07-01
Charlton County, Georgia,12497,2016-07-01
Chatham County, Georgia,289082,2016-07-01
Chattahoochee County, Georgia,10922,2016-07-01
Macon County, Georgia,13450,2016-07-01
Madison County, Georgia,28824,2016-07-01
Marion County, Georgia,8524,2016-07-01
Meriwether County, Georgia,21074,2016-07-01
Miller County, Georgia,5926,2016-07-01
Mitchell County, Georgia,22459,2016-07-01
Monroe County, Georgia,27306,2016-07-01
Fannin County, Georgia,24900,2016-07-01
Fayette County, Georgia,111627,2016-07-01
Floyd County, Georgia,96560,2016-07-01
Forsyth County, Georgia,221009,2016-07-01
Franklin County, Georgia,22320,2016-07-01
Fulton County, Georgia,1023336,2016-07-01
Gilmer County, Georgia,29733,2016-07-01
Glascock County, Georgia,3006,2016-07-01
Glynn County, Georgia,84502,2016-07-01
Gordon County, Georgia,56904,2016-07-01
Grady County, Georgia,24808,2016-07-01
Greene County, Georgia,17003,2016-07-01
Gwinnett County, Georgia,907135,2016-07-01
Habersham County, Georgia,44246,2016-07-01
Hall County, Georgia,196637,2016-07-01
Hancock County, Georgia,8640,2016-07-01
Haralson County, Georgia,29042,2016-07-01
Harris County, Georgia,33652,2016-07-01
Hart County, Georgia,25553,2016-07-01
Heard County, Georgia,11487,2016-07-01
Henry County, Georgia,221768,2016-07-01
Houston County, Georgia,152122,2016-07-01
Irwin County, Georgia,9422,2016-07-01
Jackson County, Georgia,64615,2016-07-01
Jasper County, Georgia,13654,2016-07-01
Jeff Davis County, Georgia,14877,2016-07-01
Jefferson County, Georgia,15916,2016-07-01
Jenkins County, Georgia,8849,2016-07-01
Johnson County, Georgia,9505,2016-07-01
Jones County, Georgia,28623,2016-07-01
Lamar County, Georgia,18469,2016-07-01
Lanier County, Georgia,10399,2016-07-01
Laurens County, Georgia,47516,2016-07-01
Lee County, Georgia,29337,2016-07-01
Liberty County, Georgia,62570,2016-07-01
Lincoln County, Georgia,7828,2016-07-01
Long County, Georgia,18437,2016-07-01
Lowndes County, Georgia,114628,2016-07-01
Lumpkin County, Georgia,31445,2016-07-01
McDuffie County, Georgia,21490,2016-07-01
McIntosh County, Georgia,13927,2016-07-01
Taliaferro County, Georgia,1593,2016-07-01
Tattnall County, Georgia,25092,2016-07-01
Taylor County, Georgia,8232,2016-07-01
Telfair County, Georgia,15965,2016-07-01
Terrell County, Georgia,8967,2016-07-01
Thomas County, Georgia,45248,2016-07-01
Tift County, Georgia,40828,2016-07-01
Toombs County, Georgia,27196,2016-07-01
Towns County, Georgia,11391,2016-07-01
Treutlen County, Georgia,6637,2016-07-01
Troup County, Georgia,70005,2016-07-01
Turner County, Georgia,8030,2016-07-01
Twiggs County, Georgia,8171,2016-07-01
Union County, Georgia,22928,2016-07-01
Upson County, Georgia,26335,2016-07-01
Walker County, Georgia,67896,2016-07-01
Walton County, Georgia,90184,2016-07-01
Ware County, Georgia,35738,2016-07-01
Warren County, Georgia,5442,2016-07-01
Washington County, Georgia,20457,2016-07-01
