COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
227,Howard County, Texas,36664,2019-07-01
333,Mills County, Texas,4873,2019-07-01
337,Montague County, Texas,19818,2019-07-01
091,Martin County, Minnesota,19683,2019-07-01
129,Smith County, Mississippi,15916,2019-07-01
073,Lamar County, Mississippi,63343,2019-07-01
081,Lee County, Mississippi,85436,2019-07-01
135,Tallahatchie County, Mississippi,13809,2019-07-01
149,Warren County, Mississippi,45381,2019-07-01
023,Clarke County, Mississippi,15541,2019-07-01
097,Montgomery County, Mississippi,9775,2019-07-01
105,Oktibbeha County, Mississippi,49587,2019-07-01
155,Webster County, Mississippi,9689,2019-07-01
003,Alcorn County, Mississippi,36953,2019-07-01
025,Clay County, Mississippi,19316,2019-07-01
031,Covington County, Mississippi,18636,2019-07-01
053,Humphreys County, Mississippi,8064,2019-07-01
043,Dauphin County, Pennsylvania,278299,2019-07-01
005,Alleghany County, North Carolina,11137,2019-07-01
027,Caldwell County, North Carolina,82178,2019-07-01
035,Catawba County, North Carolina,159551,2019-07-01
045,Cleveland County, North Carolina,97947,2019-07-01
049,Craven County, North Carolina,102139,2019-07-01
065,Edgecombe County, North Carolina,51472,2019-07-01
077,Granville County, North Carolina,60443,2019-07-01
085,Harnett County, North Carolina,135976,2019-07-01
093,Hoke County, North Carolina,55234,2019-07-01
089,Henderson County, North Carolina,117417,2019-07-01
095,Hyde County, North Carolina,4937,2019-07-01
097,Iredell County, North Carolina,181806,2019-07-01
119,Mecklenburg County, North Carolina,1110356,2019-07-01
131,Northampton County, North Carolina,19483,2019-07-01
147,Pitt County, North Carolina,180742,2019-07-01
159,Rowan County, North Carolina,142088,2019-07-01
181,Vance County, North Carolina,44535,2019-07-01
039,Cherokee County, North Carolina,28612,2019-07-01
053,Currituck County, North Carolina,27763,2019-07-01
179,Union County, North Carolina,239859,2019-07-01
193,Wilkes County, North Carolina,68412,2019-07-01
127,Nash County, North Carolina,94298,2019-07-01
003,Alexander County, North Carolina,37497,2019-07-01
055,Dare County, North Carolina,37009,2019-07-01
185,Warren County, North Carolina,19731,2019-07-01
195,Wilson County, North Carolina,81801,2019-07-01
073,Gates County, North Carolina,11562,2019-07-01
075,Graham County, North Carolina,8441,2019-07-01
115,Madison County, North Carolina,21755,2019-07-01
137,Pamlico County, North Carolina,12726,2019-07-01
149,Polk County, North Carolina,20724,2019-07-01
151,Randolph County, North Carolina,143667,2019-07-01
169,Stokes County, North Carolina,45591,2019-07-01
187,Washington County, North Carolina,11580,2019-07-01
043,Clay County, North Carolina,11231,2019-07-01
051,Cumberland County, North Carolina,335509,2019-07-01
081,Guilford County, North Carolina,537174,2019-07-01
099,Jackson County, North Carolina,43938,2019-07-01
139,Pasquotank County, North Carolina,39824,2019-07-01
155,Robeson County, North Carolina,130625,2019-07-01
173,Swain County, North Carolina,14271,2019-07-01
183,Wake County, North Carolina,1111761,2019-07-01
007,Anson County, North Carolina,24446,2019-07-01
067,Onondaga County, New York,460528,2019-07-01
365,Panola County, Texas,23194,2019-07-01
403,Sabine County, Texas,10542,2019-07-01
421,Sherman County, Texas,3022,2019-07-01
437,Swisher County, Texas,7397,2019-07-01
231,Hunt County, Texas,98594,2019-07-01
063,Camp County, Texas,13094,2019-07-01
195,Hansford County, Texas,5399,2019-07-01
187,Guadalupe County, Texas,166847,2019-07-01
077,Clay County, Texas,10471,2019-07-01
205,Hartley County, Texas,5576,2019-07-01
217,Hill County, Texas,36649,2019-07-01
293,Limestone County, Texas,23437,2019-07-01
347,Nacogdoches County, Texas,65204,2019-07-01
369,Parmer County, Texas,9605,2019-07-01
367,Parker County, Texas,142878,2019-07-01
377,Presidio County, Texas,6704,2019-07-01
465,Val Verde County, Texas,49025,2019-07-01
109,Culberson County, Texas,2171,2019-07-01
135,Ector County, Texas,166223,2019-07-01
169,Garza County, Texas,6229,2019-07-01
173,Glasscock County, Texas,1409,2019-07-01
185,Grimes County, Texas,28880,2019-07-01
085,Collin County, Texas,1034730,2019-07-01
005,Angelina County, Texas,86715,2019-07-01
101,Cottle County, Texas,1398,2019-07-01
209,Hays County, Texas,230191,2019-07-01
039,Brazoria County, Texas,374264,2019-07-01
129,Donley County, Texas,3278,2019-07-01
013,Atascosa County, Texas,51153,2019-07-01
353,Nolan County, Texas,14714,2019-07-01
229,Hudspeth County, Texas,4886,2019-07-01
475,Ward County, Texas,11998,2019-07-01
203,Harrison County, Texas,66553,2019-07-01
327,Menard County, Texas,2138,2019-07-01
149,Fayette County, Texas,25346,2019-07-01
491,Williamson County, Texas,590551,2019-07-01
233,Hutchinson County, Texas,20938,2019-07-01
343,Morris County, Texas,12388,2019-07-01
361,Orange County, Texas,83396,2019-07-01
495,Winkler County, Texas,8010,2019-07-01
201,Harris County, Texas,4713325,2019-07-01
053,Burnet County, Texas,48155,2019-07-01
171,Gillespie County, Texas,26988,2019-07-01
113,Dallas County, Texas,2635516,2019-07-01
311,McMullen County, Texas,743,2019-07-01
503,Young County, Texas,18010,2019-07-01
251,Johnson County, Texas,175817,2019-07-01
223,Hopkins County, Texas,37084,2019-07-01
357,Ochiltree County, Texas,9836,2019-07-01
275,Knox County, Texas,3664,2019-07-01
309,McLennan County, Texas,256623,2019-07-01
095,Concho County, Texas,2726,2019-07-01
137,Edwards County, Texas,1932,2019-07-01
133,Eastland County, Texas,18360,2019-07-01
243,Jeff Davis County, Texas,2274,2019-07-01
247,Jim Hogg County, Texas,5200,2019-07-01
339,Montgomery County, Texas,607391,2019-07-01
127,Dimmit County, Texas,10124,2019-07-01
479,Webb County, Texas,276652,2019-07-01
011,Armstrong County, Texas,1887,2019-07-01
069,Castro County, Texas,7530,2019-07-01
031,Platte County, Wyoming,8393,2019-07-01
033,Sheridan County, Wyoming,30485,2019-07-01
003,Big Horn County, Wyoming,11790,2019-07-01
011,Crook County, Wyoming,7584,2019-07-01
029,Park County, Wyoming,29194,2019-07-01
007,Middlesex County, Connecticut,162436,2019-07-01
013,Tolland County, Connecticut,150721,2019-07-01
001,Fairfield County, Connecticut,943332,2019-07-01
133,Washington County, Florida,25473,2019-07-01
031,Duval County, Florida,957755,2019-07-01
007,Bradford County, Florida,28201,2019-07-01
009,Brevard County, Florida,601942,2019-07-01
019,Clay County, Florida,219252,2019-07-01
067,Lafayette County, Florida,8422,2019-07-01
069,Lake County, Florida,367118,2019-07-01
089,Nassau County, Florida,88625,2019-07-01
103,Pinellas County, Florida,974996,2019-07-01
105,Polk County, Florida,724777,2019-07-01
111,St. Lucie County, Florida,328297,2019-07-01
043,Glades County, Florida,13811,2019-07-01
051,Hendry County, Florida,42022,2019-07-01
061,Indian River County, Florida,159923,2019-07-01
063,Jackson County, Florida,46414,2019-07-01
099,Palm Beach County, Florida,1496770,2019-07-01
109,St. Johns County, Florida,264672,2019-07-01
086,Miami-Dade County, Florida,2716940,2019-07-01
005,Bay County, Florida,174705,2019-07-01
037,Franklin County, Florida,12125,2019-07-01
045,Gulf County, Florida,13639,2019-07-01
077,Liberty County, Florida,8354,2019-07-01
119,Sumter County, Florida,132420,2019-07-01
131,Walton County, Florida,74071,2019-07-01
059,Holmes County, Florida,19617,2019-07-01
065,Jefferson County, Florida,14246,2019-07-01
083,Marion County, Florida,365579,2019-07-01
021,Collier County, Florida,384902,2019-07-01
093,Okeechobee County, Florida,42168,2019-07-01
101,Pasco County, Florida,553947,2019-07-01
041,Gilchrist County, Florida,18582,2019-07-01
121,Suwannee County, Florida,44417,2019-07-01
001,Alachua County, Florida,269043,2019-07-01
013,Calhoun County, Florida,14105,2019-07-01
023,Columbia County, Florida,71686,2019-07-01
029,Dixie County, Florida,16826,2019-07-01
107,Putnam County, Florida,74521,2019-07-01
115,Sarasota County, Florida,433742,2019-07-01
081,Manatee County, Florida,403253,2019-07-01
017,Citrus County, Florida,149657,2019-07-01
003,Baker County, Florida,29210,2019-07-01
127,Volusia County, Florida,553284,2019-07-01
073,Leon County, Florida,293582,2019-07-01
079,Madison County, Florida,18493,2019-07-01
087,Monroe County, Florida,74228,2019-07-01
053,Hernando County, Florida,193920,2019-07-01
057,Hillsborough County, Florida,1471968,2019-07-01
123,Taylor County, Florida,21569,2019-07-01
