Year,Race_ID,County_ID,Household_Income,Household_Income_MOE
2014,2,7,17633,2994.0
2013,2,7,22168,3288.0
2016,2,9,6395,547.0
2014,2,9,95873,56476.00000000001
2019,2,11,41228,16399.0
2018,2,11,27083,23695.0
2017,2,11,35488,22183.0
2015,2,11,60743,27244.0
2014,2,11,29744,25671.0
2013,2,11,36975,16284.0
2019,2,13,25952,7115.0
2016,2,13,17086,7168.0
2015,2,13,18326,6062.0
2014,2,13,10876,10257.0
2013,2,13,23750,12223.0
2018,2,15,28084,27078.0
2017,2,15,24753,13951.0
2016,2,15,23570,13213.0
2015,2,15,34363,19806.0
2013,2,15,21568,14086.0
2018,2,19,32360,17347.0
2017,2,19,61687,8648.0
2015,2,19,43812,20347.0
2014,2,19,69124,40229.0
2019,2,27,61222,14586.0
2018,2,27,53901,28231.0
2017,2,27,48339,10947.0
2016,2,27,46031,16935.0
2015,2,27,46242,10739.0
2014,2,27,44691,7686.0
2013,2,27,53096,13887.0
2019,2,29,34715,2607.0
2018,2,29,33728,3133.0
2017,2,29,30285,2271.0
2016,2,29,28249,2816.0
2015,2,29,27521,2527.0
2014,2,29,29402,3685.0
2013,2,29,24872,2875.0
2019,2,45,57987,22011.0
2018,2,45,50505,13556.999999999998
2017,2,45,45338,7612.0
2016,2,45,66866,8970.0
2015,2,45,46148,24211.0
2014,2,45,31376,4814.0
2013,2,45,42894,25153.0
2019,2,47,51899,1729.0
2018,2,47,47515,2426.0
2017,2,47,45355,2161.0
2016,2,47,46132,1695.0
2015,2,47,41668,1273.0
2014,2,47,39943,1006.0
2013,2,47,40747,1084.0
2019,2,51,25179,10845.0
2018,2,51,66033,32470.0
2016,2,51,8835,5915.0
2014,2,51,18561,7395.0
2019,2,55,35427,3623.0
2018,2,55,31796,3201.0
2017,2,55,29636,3084.0
2016,2,55,30203,2521.0
2015,2,55,28775,3779.0000000000014
2014,2,55,24758,2111.0
2013,2,55,28012,2741.0
2019,2,59,96701,8897.0
2018,2,59,109705,8041.999999999999
2017,2,59,82494,7484.0
2016,2,59,93547,7303.999999999999
2015,2,59,84080,5874.0
2014,2,59,82448,7529.0
2013,2,59,75382,6992.000000000001
2019,2,61,41106,4315.0
2018,2,61,39639,4184.0
2017,2,61,37747,4313.0
2016,2,61,31489,2155.0
2015,2,61,32329,2810.0
2014,2,61,35275,3099.0
2013,2,61,30300,3412.0
2019,2,63,24054,11961.0
2018,2,63,26718,10848.0
2017,2,63,26643,2708.0
2016,2,63,21885,8474.0
2015,2,63,20888,5205.0
2014,2,63,27439,9551.0
2013,2,63,35204,8432.0
2019,2,65,44409,27428.0
2018,2,65,28534,10568.0
2017,2,65,32192,14993.0
2016,2,65,24930,9672.0
2015,2,65,25438,7061.0
2014,2,65,27517,13973.0
2013,2,65,27181,8300.0
2019,2,67,35221,5370.0
2018,2,67,32506,3141.0
2017,2,67,30446,1823.0
2016,2,67,26899,4395.0
2015,2,67,35464,3742.0
2014,2,67,27409,3694.0
2013,2,67,27759,3783.0
2019,2,69,24688,14807.999999999998
2018,2,69,61396,23378.0
2016,2,69,20951,3093.0
2015,2,69,40985,8313.0
2014,2,69,29651,10781.0
2013,2,69,28295,10237.0
2019,2,71,66012,18425.0
2018,2,71,65093,10145.0
2017,2,71,70313,8775.0
2016,2,71,55009,20566.0
2015,2,71,62549,7505.0
2014,2,71,60963,9068.0
2013,2,71,57345,19063.0
2014,2,75,23615,23479.0
2019,2,79,83817,24617.0
2018,2,79,156431,91255.0
2017,2,79,72357,70496.0
2014,2,79,78601,42418.0
2013,2,79,108326,91724.0
2019,2,81,73646,4313.0
2018,2,81,68205,4122.0
2017,2,81,65295,4723.0
2016,2,81,65284,2471.0
2015,2,81,62374,2520.0
2014,2,81,56756,2882.0
2013,2,81,56565,1797.9999999999998
2019,2,83,32575,12855.0
2018,2,83,45828,7450.999999999999
2017,2,83,24355,4985.0
2016,2,83,42480,21447.0
2015,2,83,41773,11881.0
2014,2,83,22585,6145.0
2013,2,83,26104,14303.999999999998
2019,2,85,51171,13571.000000000002
2018,2,85,56859,11732.0
2017,2,85,41663,5408.0
2016,2,85,49445,10551.0
2015,2,85,41543,4752.0
2014,2,85,37509,14505.0
2013,2,85,44190,19964.0
2019,2,87,95189,18863.0
2018,2,87,83668,10271.0
2017,2,87,79973,16317.999999999998
2016,2,87,70363,11917.0
2015,2,87,70860,11684.0
2014,2,87,69149,12486.0
2013,2,87,81015,9405.0
2019,2,89,53855,9927.0
2018,2,89,88566,52101.0
2018,2,91,123275,80280.0
2016,2,91,73681,593.0
2015,2,91,57287,16588.0
2014,2,91,81058,53437.0
2019,2,93,38437,7293.0
2018,2,93,38483,13694.0
2017,2,93,27937,8997.0
2016,2,93,31685,11161.0
2015,2,93,36453,17488.0
2014,2,93,32178,3975.0
2013,2,93,23926,9304.0
2019,2,101,57222,40921.0
2017,2,101,38537,15378.0
2016,2,101,73750,71481.0
2015,2,101,62257,42708.0
2013,2,101,97679,21889.0
2019,2,103,96643,13546.999999999998
2018,2,103,77970,7530.999999999999
2017,2,103,69872,5077.0
2016,2,103,73357,7639.0
2015,2,103,70992,7113.0
2014,2,103,67498,7057.000000000001
2013,2,103,65265,7381.000000000001
2018,2,105,27308,25302.0
2017,2,105,42178,18902.0
2016,2,105,21575,5421.0
2015,2,105,34421,26940.0
2013,2,105,31285,7221.0
2018,2,109,41024,25297.0
2013,2,109,66041,41592.0
2019,2,111,58504,40545.0
2018,2,111,40970,26664.0
2017,2,111,71154,25469.0
2016,2,111,25555,7039.0
2015,2,111,32771,7824.999999999999
2014,2,111,27401,8221.0
2013,2,111,44167,26797.0
2019,2,113,212794,167796.0
2013,2,113,26882,6550.0
2016,2,117,67482,44324.0
2015,2,117,48328,41899.0
2014,2,117,28003,7687.999999999999
2013,2,117,30243,13260.0
2019,2,119,64662,9499.0
2018,2,119,60653,9116.0
2017,2,119,55844,5557.0
2016,2,119,57196,5407.0
2015,2,119,59169,5003.0
2014,2,119,51653,4478.0
2013,2,119,51623,6596.0
2018,3,1,58418,51149.0
2017,3,1,22791,18921.0
2016,3,1,46653,46105.0
2013,3,1,53571,25725.0
2019,3,5,22464,19727.0
2018,3,5,19079,10920.0
2017,3,5,29001,18836.0
2016,3,5,27264,14674.0
2015,3,5,36586,11633.0
2014,3,5,35040,28365.0
2013,3,5,28452,19422.0
2019,3,7,45847,26453.0
2014,3,7,15448,2135.0
2019,3,9,21767,3697.0
2018,3,9,40739,9986.0
2017,3,9,25693,16372.000000000002
2016,3,9,28393,11413.0
2015,3,9,26509,7767.0
2014,3,9,22261,14920.0
2013,3,9,33614,12909.0
2016,3,11,26755,13926.0
2014,3,11,60278,35964.0
2013,3,11,17333,15683.0
2013,3,13,73544,49073.0
2013,3,15,28683,7771.0
2019,3,29,40703,35190.0
2018,3,29,16273,9449.0
2017,3,29,30868,28383.0
2016,3,29,35666,18171.0
2015,3,29,20071,13016.0
2014,3,29,22657,4089.0
2013,3,29,21257,5587.0
2016,3,45,41902,32177.0
2013,3,45,41730,14067.0
2019,3,47,20570,17109.0
2018,3,47,55395,7079.999999999999
2017,3,47,52815,45104.0
2016,3,47,52150,14631.0
2015,3,47,28191,15460.000000000002
2014,3,47,33568,17006.0
2013,3,47,35244,11675.0
2019,3,53,46316,40070.0
2014,3,53,45294,23801.0
2013,3,53,36633,16305.0
2019,3,55,26761,9688.0
2018,3,55,30125,18370.0
2015,3,55,35642,15443.0
2014,3,55,18898,8820.0
2013,3,55,26585,16695.0
2019,3,59,123200,15196.000000000002
2018,3,59,110151,80498.0
2016,3,59,80867,35050.0
2015,3,59,60563,32257.0
2013,3,59,96192,37804.0
2019,3,61,37147,27051.000000000004
2018,3,61,35487,20755.0
2015,3,61,59966,29191.0
2014,3,61,50134,21417.0
2013,3,61,30754,10709.0
2019,3,63,5993,3662.0
2018,3,63,38578,38169.0
2017,3,63,39607,32924.0
2016,3,63,50996,33124.0
2015,3,63,13837,5777.0
2014,3,63,30297,10272.0
2013,3,63,33019,22345.0
2019,3,65,48469,22111.0
2014,3,65,50205,47845.0
2019,3,67,73925,66056.0
2018,3,67,37966,22749.0
2017,3,67,13834,5930.0
2016,3,67,39955,12779.0
2015,3,67,61461,30095.0
2014,3,67,46742,30819.000000000004
2018,3,71,58221,50790.0
2016,3,71,47692,30742.0
2014,3,71,77569,4798.0
2017,3,75,58688,55892.0
2016,3,75,18188,13590.000000000002
2013,3,79,48843,39394.0
2019,3,81,80969,34873.0
2018,3,81,52978,36415.0
2017,3,81,65444,16865.0
2016,3,81,49091,13933.0
2015,3,81,39059,18125.0
2014,3,81,56148,20940.0
2013,3,81,47628,22433.0
2016,3,83,30699,18764.0
2019,3,85,60718,37796.0
2017,3,85,70389,36918.0
2017,3,87,111149,72618.0
2016,3,87,250001,
2014,3,87,167043,59922.0
2013,3,87,65181,28226.0
2017,3,89,56193,41990.0
2015,3,89,50523,35197.0
2018,3,93,61597,49307.0
2018,3,101,36563,25647.0
2013,3,101,49516,41660.0
2019,3,103,87833,9567.0
2018,3,103,98732,40049.0
2015,3,103,93750,69048.0
2014,3,103,74672,50432.0
2017,3,105,60565,50038.0
2013,3,105,70990,25138.0
2015,3,117,54500,49493.0
2017,3,119,45076,25024.0
2014,3,119,53666,10097.0
2013,3,119,73695,31694.0
2019,4,1,74962,23510.0
2018,4,1,102936,31507.000000000004
2017,4,1,77814,13534.0
2016,4,1,66309,17972.0
2015,4,1,80481,25248.0
2014,4,1,69653,39128.0
2013,4,1,51351,18269.0
2019,4,5,64059,8424.0
2018,4,5,56597,9291.0
2017,4,5,48016,10550.0
2016,4,5,50285,4059.0
2015,4,5,52120,11842.0
2014,4,5,41776,6723.0
2013,4,5,44462,9972.0
2019,4,7,43902,20745.0
2017,4,7,35279,27445.0
2016,4,7,26165,9496.0
2015,4,7,40013,17229.0
2014,4,7,46353,19336.0
2018,4,9,96075,86396.0
2017,4,9,2499,
2015,4,9,60568,13834.0
2014,4,9,250001,
2013,4,9,27237,16784.0
2018,4,11,100847,28607.000000000004
2017,4,11,98682,869.9999999999999
2015,4,11,76285,692.0
